"year","name","flow","sd","upp50","lwr50","upp80","lwr80","model"
2017,"Hungary",349899.316984298,37178.7009291769,375300.666508193,329797.609141095,404158.985766142,312579.757704348,"Eurostat estimate 2016"
2017,"Ireland",231518.761813847,22435.5316889679,246859.861983895,217142.025664738,261717.554746732,204882.058821143,"Eurostat estimate 2016"
2017,"Italy",828185.81641957,46967.0665220396,860193.035495265,796546.338314791,890325.18541871,771981.097957914,"Eurostat estimate 2016"
2017,"Latvia",151759.338173646,17948.8281930121,164317.059716626,140594.88191263,175900.585683627,131591.501231282,"Eurostat estimate 2016"
2017,"Lithuania",271564.83154571,18535.6895865089,284089.886616627,259302.439834475,296014.636424951,248922.927270519,"Eurostat estimate 2016"
2017,"Luxembourg",52810.5099546326,5355.68814710935,56350.6877705898,49616.820116013,60110.8168769655,47183.5831479135,"Eurostat estimate 2016"
2017,"Malta",20406.3604917409,5851.86433526916,24072.6362372336,17396.4903178605,29175.8604408958,15080.0363522182,"Eurostat estimate 2016"
2017,"Netherlands",321382.801093366,20979.7769784119,336176.529334366,308970.553111927,350632.291100212,298190.481137961,"Eurostat estimate 2016"
2017,"Poland",2289280.04526659,146151.315749677,2392554.32611349,2196694.7078927,2493393.66438903,2115970.30357089,"Eurostat estimate 2016"
2017,"Portugal",789801.001742627,65080.7106039991,835179.209369416,748170.855020494,878135.563872964,713615.639524789,"Eurostat estimate 2016"
2017,"Romania",2997338.64987352,171744.892355089,3115211.19519628,2890028.23588127,3234794.83690064,2796232.6157829,"Eurostat estimate 2016"
2017,"Slovakia",375367.746067442,43659.3326396174,405306.198500921,349086.501137679,437539.73231545,326990.649680456,"Eurostat estimate 2016"
2017,"Slovenia",63562.4607295316,11846.2838949354,71452.1985573563,56840.9172142275,80227.8969867134,51653.6049931417,"Eurostat estimate 2016"
2017,"Spain",443568.866621515,27581.6341921651,462452.579595012,425487.33242103,480492.362165826,410971.92668191,"Eurostat estimate 2016"
2017,"Sweden",153338.146451969,17417.672245748,165233.268186486,142894.591853409,178317.701603874,134877.230532264,"Eurostat estimate 2016"
2017,"United Kingdom",687126.647725641,39582.2803734878,714875.741519274,662511.916616829,742413.411679357,640613.806775051,"Eurostat estimate 2016"
2018,"Austria",162427.57230711,22735.5613757818,177217.236406495,148411.676602226,194649.644812668,137806.76034143,"Eurostat estimate 2016"
2018,"Belgium",283045.026913089,27706.2569647219,303282.382807206,265530.960058095,322225.702693949,251820.770373391,"Eurostat estimate 2016"
2018,"Bulgaria",639697.091842655,81714.6136586726,694983.990645983,594879.668123034,756981.552562595,557159.102722746,"Eurostat estimate 2016"
2018,"Croatia",294082.603766916,36633.5340431464,318972.430051231,270248.936845564,344452.703300124,250328.049408706,"Eurostat estimate 2016"
2018,"Cyprus",67062.3938815487,11680.7627765824,75335.4399677026,60009.50498697,83673.5442554039,54417.7977035123,"Eurostat estimate 2016"
2018,"Czechia",301033.796089604,53152.6339112769,336219.308752525,269346.264733853,377081.603385326,246574.52151429,"Eurostat estimate 2016"
2018,"Denmark",97385.5911150427,13174.865758813,106582.626732196,89490.7484943392,116156.367955797,83714.936478629,"Eurostat estimate 2016"
2018,"Estonia",90652.7850487215,9884.25201283952,97315.6967570018,84830.1884406202,104585.776920876,79690.6638334368,"Eurostat estimate 2016"
2018,"Finland",128199.163660704,12180.9872560483,136813.761479622,120886.211163587,145638.298278257,114387.549877314,"Eurostat estimate 2016"
2018,"France",797605.187378538,58823.8679641845,839344.546015692,759784.810085598,877302.921127054,727596.10493796,"Eurostat estimate 2016"
2018,"Germany",1116207.79298793,72986.5770349564,1165884.62286681,1067600.70682975,1210817.18712567,1026747.18467758,"Eurostat estimate 2016"
2018,"Greece",81470.9389167128,5372.3961128538,85233.2714580561,77942.9983321205,88773.6262947685,75037.5423511257,"Eurostat estimate 2016"
2018,"Hungary",389551.69908369,50181.6421696241,424852.055162091,358639.98856475,460569.708607167,335327.534857436,"Eurostat estimate 2016"
2018,"Ireland",225848.17397376,39824.9726934777,252468.889059391,201601.622724847,281872.778901323,182656.565861005,"Eurostat estimate 2016"
2018,"Italy",923099.559341617,89161.3740392795,984126.52371411,866351.591052111,1045146.37280667,819556.738025563,"Eurostat estimate 2016"
2018,"Latvia",158025.543243944,22731.145917474,174044.392684759,145374.582193865,189489.804799167,134068.808077679,"Eurostat estimate 2016"
2018,"Lithuania",278798.821118461,33608.9623849625,301786.255416656,258014.940694857,326390.955071959,241519.289372675,"Eurostat estimate 2016"
2018,"Luxembourg",54641.8834680868,6938.29480843246,59481.6641895509,50386.5827184988,64355.7353609168,47177.5534482965,"Eurostat estimate 2016"
2018,"Malta",20184.8251545806,5110.56604544204,23685.3966920425,17386.1660448908,27357.7055642001,15368.2029194179,"Eurostat estimate 2016"
2018,"Netherlands",333655.705960309,28608.9594428969,352672.497253161,314829.143603225,372405.800012334,299926.765613151,"Eurostat estimate 2016"
2018,"Poland",2328718.37322076,281070.453224326,2521468.7083748,2151762.26846832,2729067.75417807,2018962.67364998,"Eurostat estimate 2016"
