"orig","dest","corridor_name","year","census","corridor"
"Ireland","Luxembourg","Ireland->Luxembourg",2011,835,368
"Ireland","Malta","Ireland->Malta",2011,169,369
"Ireland","Netherlands","Ireland->Netherlands",2011,0,370
"Ireland","Poland","Ireland->Poland",2011,280,371
"Ireland","Portugal","Ireland->Portugal",2011,1071,372
"Ireland","Romania","Ireland->Romania",2011,37,373
"Ireland","Slovakia","Ireland->Slovakia",2011,47,374
"Ireland","Slovenia","Ireland->Slovenia",2011,28,375
"Ireland","Spain","Ireland->Spain",2011,9405,376
"Ireland","Sweden","Ireland->Sweden",2011,1723,377
"Ireland","United Kingdom","Ireland->United Kingdom",2011,264310,378
"Italy","Austria","Italy->Austria",2011,13043,379
"Italy","Belgium","Italy->Belgium",2011,NA,380
"Italy","Bulgaria","Italy->Bulgaria",2011,442,381
"Italy","Croatia","Italy->Croatia",2011,1388,382
"Italy","Cyprus","Italy->Cyprus",2011,290,383
"Italy","Czech Republic","Italy->Czech Republic",2011,2145,384
"Italy","Denmark","Italy->Denmark",2011,4354,385
"Italy","Estonia","Italy->Estonia",2011,158,386
"Italy","Finland","Italy->Finland",2011,1542,387
"Italy","France","Italy->France",2011,152059,388
"Italy","Germany","Italy->Germany",2011,259930,389
"Italy","Greece","Italy->Greece",2011,5126,390
"Italy","Hungary","Italy->Hungary",2011,1894,391
"Italy","Ireland","Italy->Ireland",2011,NA,392
"Italy","Latvia","Italy->Latvia",2011,104,393
"Italy","Lithuania","Italy->Lithuania",2011,0,394
"Italy","Luxembourg","Italy->Luxembourg",2011,8870,395
"Italy","Malta","Italy->Malta",2011,1166,396
"Italy","Netherlands","Italy->Netherlands",2011,0,397
"Italy","Poland","Italy->Poland",2011,2967,398
"Italy","Portugal","Italy->Portugal",2011,2126,399
"Italy","Romania","Italy->Romania",2011,2337,400
"Italy","Slovakia","Italy->Slovakia",2011,505,401
"Italy","Slovenia","Italy->Slovenia",2011,1483,402
"Italy","Spain","Italy->Spain",2011,63315,403
"Italy","Sweden","Italy->Sweden",2011,5388,404
"Italy","United Kingdom","Italy->United Kingdom",2011,98580,405
"Latvia","Austria","Latvia->Austria",2011,741,406
"Latvia","Belgium","Latvia->Belgium",2011,NA,407
"Latvia","Bulgaria","Latvia->Bulgaria",2011,107,408
"Latvia","Croatia","Latvia->Croatia",2011,26,409
"Latvia","Cyprus","Latvia->Cyprus",2011,802,410
"Latvia","Czech Republic","Latvia->Czech Republic",2011,316,411
"Latvia","Denmark","Latvia->Denmark",2011,2906,412
"Latvia","Estonia","Latvia->Estonia",2011,2894,413
"Latvia","Finland","Latvia->Finland",2011,817,414
"Latvia","France","Latvia->France",2011,1573,415
"Latvia","Germany","Latvia->Germany",2011,13300,416
"Latvia","Greece","Latvia->Greece",2011,318,417
"Latvia","Hungary","Latvia->Hungary",2011,131,418
"Latvia","Ireland","Latvia->Ireland",2011,NA,419
"Latvia","Italy","Latvia->Italy",2011,2137,420
"Latvia","Lithuania","Latvia->Lithuania",2011,7006,421
"Latvia","Luxembourg","Latvia->Luxembourg",2011,306,422
"Latvia","Malta","Latvia->Malta",2011,69,423
"Latvia","Netherlands","Latvia->Netherlands",2011,0,424
"Latvia","Poland","Latvia->Poland",2011,715,425
"Latvia","Portugal","Latvia->Portugal",2011,188,426
"Latvia","Romania","Latvia->Romania",2011,14,427
"Latvia","Slovakia","Latvia->Slovakia",2011,31,428
"Latvia","Slovenia","Latvia->Slovenia",2011,31,429
"Latvia","Spain","Latvia->Spain",2011,1630,430
"Latvia","Sweden","Latvia->Sweden",2011,3891,431
"Latvia","United Kingdom","Latvia->United Kingdom",2011,51870,432
"Lithuania","Austria","Lithuania->Austria",2011,882,433
"Lithuania","Belgium","Lithuania->Belgium",2011,NA,434
"Lithuania","Bulgaria","Lithuania->Bulgaria",2011,95,435
"Lithuania","Croatia","Lithuania->Croatia",2011,21,436
"Lithuania","Cyprus","Lithuania->Cyprus",2011,633,437
"Lithuania","Czech Republic","Lithuania->Czech Republic",2011,558,438
"Lithuania","Denmark","Lithuania->Denmark",2011,5776,439
"Lithuania","Estonia","Lithuania->Estonia",2011,1200,440
"Lithuania","Finland","Lithuania->Finland",2011,482,441
"Lithuania","France","Lithuania->France",2011,2067,442
"Lithuania","Germany","Lithuania->Germany",2011,20960,443
"Lithuania","Greece","Lithuania->Greece",2011,512,444
"Lithuania","Hungary","Lithuania->Hungary",2011,130,445
"Lithuania","Ireland","Lithuania->Ireland",2011,NA,446
"Lithuania","Italy","Lithuania->Italy",2011,3503,447
"Lithuania","Latvia","Lithuania->Latvia",2011,11696,448
"Lithuania","Luxembourg","Lithuania->Luxembourg",2011,421,449
"Lithuania","Malta","Lithuania->Malta",2011,36,450
"Lithuania","Netherlands","Lithuania->Netherlands",2011,0,451
"Lithuania","Poland","Lithuania->Poland",2011,8539,452
"Lithuania","Portugal","Lithuania->Portugal",2011,337,453
"Lithuania","Romania","Lithuania->Romania",2011,33,454
"Lithuania","Slovakia","Lithuania->Slovakia",2011,39,455
