"year","name","total","sd","upp50","lwr50","upp80","lwr80"
2016,"Portugal",195216.88645799,33535.7845368253,218470.424968361,176425.843372219,239008.414812136,155675.384379201
2016,"Romania",34267.421209263,2098.85350559283,35626.5598798567,33009.3542998778,37139.4132514464,32011.1832245694
2016,"Slovakia",138542.526330482,13842.427284909,147904.910766874,130376.389170789,158633.410652708,122844.449456165
2016,"Slovenia",68001.1418941718,8093.82601721849,73989.7261952536,63422.007117667,79793.3201569142,59994.7105777526
2016,"Spain",1971763.61980329,123954.954232553,2037726.63718788,1907590.08901191,2140454.15150386,1859167.61908242
2016,"Sweden",424415.023268906,21899.7900769798,440272.736979578,412417.770064334,454088.506186955,399510.162374133
2016,"United Kingdom",2583713.47705061,221552.750623394,2740450.14634818,2437419.68757886,2892673.48060594,2331419.11107332
2017,"Austria",674396.360392813,39640.6813417019,704994.292710501,647184.141611532,733293.920849089,630791.221309712
2017,"Belgium",734509.887532947,39884.9101102283,763634.295093513,712036.211907924,792504.624725241,688862.856243909
2017,"Bulgaria",23490.4132389612,1687.62573360003,24638.4122646614,22391.2857195812,25576.2189825169,21529.0259382422
2017,"Croatia",61099.7475746195,10991.0907148741,68371.4585781756,55394.6421935373,76221.6891261809,48808.6576778962
2017,"Cyprus",77889.5201990895,14963.9312155239,87798.0219096993,68436.6689949048,97428.0615001939,60474.3604432771
2017,"Czechia",286883.698341009,28290.390642552,304931.362849983,268418.215998097,323899.823474442,253995.878228475
2017,"Denmark",219959.855446665,11507.5190372182,229473.135352909,211675.775714094,234838.900243961,205779.483343969
2017,"Estonia",25380.5256172338,1772.17274107231,26556.4580544685,24349.3879531345,27517.6522976962,23145.5234255675
2017,"Finland",122822.461471148,9558.2405978855,129655.10419781,115394.791314832,135866.119415237,110745.234380124
2017,"France",1109746.37579762,160215.917293735,1270461.96292362,1001799.31287368,1372024.30923917,948804.267636433
2017,"Germany",2580370.92765624,371418.527443055,2973782.94301238,2343929.60472971,3216504.16230936,2188619.41333695
2017,"Greece",252415.953802537,57859.2379335466,291416.311562995,223149.358820033,339515.610752542,201886.56813527
